ID,Nome,Marca,Categoria,Quantidade,PrecoCusto,PrecoVista,PrecoCartao,Validade,FotoURL,CodigoBarras
4,Kit Shampoo babasoul,Babasoul,Cabelo,20,17.0,31.0,34.94,2025-09-25,https://cdn.awsli.com.br/800x800/404/404800/produto/291524518/kit-capilar-shampoo--condicionador-e-m-scara-cheirinho-de-chiclete-babasoul-tutt-w1sqad1659.png,722713013411
6,Blush Matte Alleva,Alleva,Blush,1,7.0,12.0,13.53,2027-11-22,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR7A-mej4Uc7uqmw8ytozSdbBBgf4tAydI6l3bGUi08ShDVNtaQ,7898760940161
7,Hidratante Labial  melancia,Soul,Boca,1,5.0,10.0,11.27,2027-03-31,https://down-br.img.susercontent.com/file/sg-11134201-7rd5m-lwinm3dlulw898,7908239720702
8,Hidratante Labial Morango,Soul,Boca,1,5.0,10.0,11.27,2027-03-31,https://http2.mlstatic.com/D_NQ_NP_777652-MLB77164960506_072024-O.webp,7908239720665
9,Hidratante labial Banana,Soul,Boca,1,5.0,10.0,11.27,2027-03-31,https://http2.mlstatic.com/D_NQ_NP_826873-MLB80759945650_112024-O-kit-2-hidratantes-labial-gostinho-chiclete-banana-babasoul.webp,7908239720689
10,Hidratante labial uva,Soul,Boca,1,5.0,10.0,11.27,2027-03-31,https://down-br.img.susercontent.com/file/sg-11134201-7rdwg-mc3lwockmurydf,7908239720696
